# producers=5 consumers=3 q=1 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,2,0,0,1,0
0,P_START,P,2,-1,-1,-1,1,0
0,P_START,P,1,-1,-1,-1,1,0
0,P_START,P,3,-1,-1,-1,1,0
0,P_START,P,4,-1,-1,-1,1,0
0,C_START,C,0,-1,-1,-1,1,0
0,C_READ,C,0,2,0,0,0,0
0,C_START,C,1,-1,-1,-1,0,0
0,C_START,C,2,-1,-1,-1,0,0
0,P_WRITE,P,2,1,2,2,0,0
0,P_WRITE,P,2,6,2,2,1,0
0,C_READ,C,2,1,2,2,0,0
0,C_READ,C,1,6,2,2,0,0
0,P_WRITE,P,3,3,3,3,1,0
0,C_READ,C,1,3,3,3,0,0
0,P_WRITE,P,4,8,4,4,1,0
3414,C_READ,C,1,8,4,4,0,0
3414,C_READ,C,1,0,2,2,0,0
3414,P_WRITE,P,2,0,2,2,1,590
3414,P_WRITE,P,2,5,2,2,1,0
4697,C_READ,C,2,5,2,2,0,0
4697,P_WRITE,P,3,4,3,3,1,1718
5450,C_READ,C,1,4,3,3,0,1
5450,P_WRITE,P,0,0,0,0,1,3278
5578,C_READ,C,0,0,0,0,0,0
5578,P_WRITE,P,3,7,3,3,1,881
5713,C_READ,C,2,7,3,3,0,0
5713,P_WRITE,P,1,1,1,1,1,5713
6463,C_READ,C,1,1,1,1,0,0
6463,P_WRITE,P,4,9,4,4,1,6463
6721,C_READ,C,2,9,4,4,0,0
6721,P_WRITE,P,4,0,4,4,1,258
7958,C_READ,C,2,0,4,4,0,0
7958,P_WRITE,P,4,8,4,4,1,1237
8625,C_READ,C,0,8,4,4,0,0
8625,P_WRITE,P,4,0,4,4,1,667
8625,C_READ,C,0,0,4,4,0,0
8625,P_WRITE,P,3,7,3,3,1,657
11555,C_READ,C,1,7,3,3,0,0
11555,P_WRITE,P,0,0,0,0,1,2620
11555,C_READ,C,2,0,0,0,0,0
11555,P_WRITE,P,1,5,1,1,1,3634
12102,C_READ,C,0,5,1,1,0,0
12102,P_WRITE,P,3,2,3,3,1,3477
12102,C_READ,C,0,2,3,3,0,0
12102,P_WRITE,P,2,2,2,2,1,2535
13240,C_READ,C,2,2,2,2,0,0
13240,P_WRITE,P,4,8,4,4,1,726
17026,C_READ,C,0,8,4,4,0,0
17026,P_WRITE,P,4,2,4,4,1,1325
20004,STOP_SET_TIMEOUT,M,0,-1,-1,-1,1,0
20054,C_EXIT,C,2,-1,-1,-1,1,0
20054,P_EXIT,P,3,-1,-1,-1,1,0
20066,C_EXIT,C,0,-1,-1,-1,1,0
20169,P_EXIT,P,1,-1,-1,-1,1,0
20236,P_EXIT,P,2,-1,-1,-1,1,0
20475,C_EXIT,C,1,-1,-1,-1,1,0
20665,P_EXIT,P,4,-1,-1,-1,1,0
20665,P_EXIT,P,0,-1,-1,-1,1,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=22 cons_ops=21 runtime_s=20.665 throughput=1.016 prod_block_ms=35779 prod_block_ev=16 cons_block_ms=1 cons_block_ev=1 max_q=1
20665,RUN_END,M,0,-1,-1,-1,1,0
