# producers=5 consumers=3 q=10 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,5,0,0,1,0
0,P_START,P,1,-1,-1,-1,1,0
0,P_WRITE,P,1,4,1,1,2,0
0,P_WRITE,P,1,2,1,1,3,0
0,P_START,P,2,-1,-1,-1,3,0
0,P_WRITE,P,2,0,2,2,4,0
0,P_START,P,3,-1,-1,-1,4,0
0,P_WRITE,P,3,8,3,3,5,0
0,P_START,P,4,-1,-1,-1,5,0
0,P_WRITE,P,4,3,4,4,6,0
0,C_START,C,0,-1,-1,-1,6,0
0,C_READ,C,0,3,4,4,5,0
0,C_READ,C,0,8,3,3,4,0
0,C_START,C,1,-1,-1,-1,4,0
0,C_READ,C,1,0,2,2,3,0
0,C_START,C,2,-1,-1,-1,3,0
0,C_READ,C,2,4,1,1,2,0
0,C_READ,C,2,2,1,1,1,0
1010,P_WRITE,P,3,1,3,3,2,0
2036,P_WRITE,P,3,0,3,3,3,0
3051,P_WRITE,P,3,1,3,3,4,0
3452,C_READ,C,1,1,3,3,3,0
4109,P_WRITE,P,1,0,1,1,4,0
4685,P_WRITE,P,4,0,4,4,5,0
4685,P_WRITE,P,4,1,4,4,6,0
5089,P_WRITE,P,3,8,3,3,7,0
5973,C_READ,C,0,0,4,4,6,0
7142,P_WRITE,P,3,0,3,3,7,0
7282,P_WRITE,P,4,2,4,4,8,0
7282,P_WRITE,P,4,0,4,4,9,0
8169,P_WRITE,P,3,7,3,3,10,0
9595,C_READ,C,2,1,4,4,9,0
9595,P_WRITE,P,0,1,0,0,10,1231
10624,C_READ,C,0,2,4,4,9,0
10624,P_WRITE,P,2,9,2,2,10,2334
18833,C_READ,C,1,0,4,4,9,0
18833,P_WRITE,P,4,1,4,4,10,725
20001,STOP_SET_TIMEOUT,M,0,-1,-1,-1,10,0
20099,C_EXIT,C,0,-1,-1,-1,10,0
20099,P_EXIT,P,4,-1,-1,-1,10,0
20195,P_EXIT,P,2,-1,-1,-1,10,0
20230,P_EXIT,P,1,-1,-1,-1,10,0
20230,P_EXIT,P,3,-1,-1,-1,10,0
20304,C_EXIT,C,1,-1,-1,-1,10,0
20304,P_EXIT,P,0,-1,-1,-1,10,0
20350,C_EXIT,C,2,-1,-1,-1,10,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=20 cons_ops=10 runtime_s=20.350 throughput=0.491 prod_block_ms=4290 prod_block_ev=3 cons_block_ms=0 cons_block_ev=0 max_q=10
20350,RUN_END,M,0,-1,-1,-1,10,0
