# producers=5 consumers=3 q=2 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,9,0,0,1,0
0,P_WRITE,P,0,8,0,0,2,0
0,P_START,P,1,-1,-1,-1,2,0
0,P_START,P,2,-1,-1,-1,2,0
0,P_START,P,3,-1,-1,-1,2,0
0,P_START,P,4,-1,-1,-1,2,0
0,C_START,C,0,-1,-1,-1,2,0
0,C_READ,C,0,9,0,0,1,0
0,C_START,C,1,-1,-1,-1,1,0
0,P_WRITE,P,1,2,1,1,1,0
0,P_WRITE,P,2,2,2,2,2,0
0,C_START,C,2,-1,-1,-1,2,0
0,C_READ,C,2,2,2,2,1,0
0,C_READ,C,1,8,0,0,1,0
0,P_WRITE,P,3,8,3,3,2,0
6797,P_WRITE,P,1,1,1,1,2,534
6797,C_READ,C,1,8,3,3,2,0
10961,C_READ,C,1,2,1,1,1,0
10961,P_WRITE,P,0,3,0,0,2,9941
13180,C_READ,C,0,1,1,1,1,0
13180,P_WRITE,P,1,4,1,1,2,6383
13213,C_READ,C,2,4,1,1,1,0
13213,P_WRITE,P,2,0,2,2,2,11296
14189,C_READ,C,1,0,2,2,1,0
14189,P_WRITE,P,2,5,2,2,2,976
16210,C_READ,C,1,5,2,2,1,0
16210,P_WRITE,P,3,6,3,3,2,14425
17346,C_READ,C,1,6,3,3,1,0
17346,P_WRITE,P,1,6,1,1,2,933
17955,C_READ,C,0,6,1,1,1,0
17955,P_WRITE,P,4,5,4,4,2,17955
19369,C_READ,C,1,5,4,4,1,0
19369,P_WRITE,P,3,4,3,3,2,3159
19369,P_WRITE,P,3,1,3,3,2,0
19369,C_READ,C,1,4,3,3,1,0
19369,C_READ,C,1,1,3,3,1,0
19369,P_WRITE,P,0,6,0,0,2,6018
20207,STOP_SET_TIMEOUT,M,0,-1,-1,-1,2,0
20336,P_EXIT,P,4,-1,-1,-1,2,0
20346,P_EXIT,P,2,-1,-1,-1,2,0
20379,C_EXIT,C,1,-1,-1,-1,2,0
20705,P_EXIT,P,0,-1,-1,-1,2,0
20708,C_EXIT,C,2,-1,-1,-1,2,0
20713,P_EXIT,P,1,-1,-1,-1,2,0
20713,C_EXIT,C,0,-1,-1,-1,2,0
21280,P_EXIT,P,3,-1,-1,-1,2,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=16 cons_ops=14 runtime_s=21.280 throughput=0.658 prod_block_ms=71620 prod_block_ev=10 cons_block_ms=0 cons_block_ev=0 max_q=2
21280,RUN_END,M,0,-1,-1,-1,2,0
