# producers=5 consumers=3 q=15 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,3,-1,-1,-1,0,0
0,P_WRITE,P,3,7,3,3,1,0
0,P_WRITE,P,3,6,3,3,2,0
1,P_START,P,0,-1,-1,-1,2,0
1,P_WRITE,P,0,8,0,0,3,0
1,C_START,C,0,-1,-1,-1,3,0
1,C_READ,C,0,7,3,3,2,0
2,C_START,C,2,-1,-1,-1,2,0
2,C_READ,C,2,6,3,3,1,0
2,P_START,P,1,-1,-1,-1,2,0
2,P_WRITE,P,1,3,1,1,2,0
3,P_START,P,2,-1,-1,-1,2,0
3,P_WRITE,P,2,9,2,2,3,0
3,P_START,P,4,-1,-1,-1,3,0
3,P_WRITE,P,4,6,4,4,4,0
3,C_START,C,1,-1,-1,-1,3,0
3,C_READ,C,1,6,4,4,3,0
1030,P_WRITE,P,2,2,2,2,4,0
2517,P_WRITE,P,0,6,0,0,5,0
3050,P_WRITE,P,2,4,2,2,6,0
3548,P_WRITE,P,0,8,0,0,7,0
4061,P_WRITE,P,2,0,2,2,8,0
5029,C_READ,C,2,9,2,2,7,0
5074,P_WRITE,P,2,8,2,2,8,0
5074,P_WRITE,P,2,3,2,2,9,0
5074,P_WRITE,P,2,0,2,2,10,0
5584,P_WRITE,P,0,5,0,0,11,0
5584,P_WRITE,P,0,9,0,0,12,0
6538,P_WRITE,P,3,7,3,3,13,0
6538,P_WRITE,P,4,1,4,4,14,0
6538,P_WRITE,P,4,6,4,4,15,0
7201,C_READ,C,2,1,4,4,14,0
7201,C_READ,C,2,6,4,4,13,0
7201,P_WRITE,P,4,1,4,4,14,663
7201,P_WRITE,P,4,2,4,4,15,0
8668,C_READ,C,0,1,4,4,14,0
8668,P_WRITE,P,2,3,2,2,15,887
11004,C_READ,C,0,2,4,4,14,0
11004,P_WRITE,P,4,4,4,4,15,177
11275,C_READ,C,2,4,4,4,14,0
11276,P_WRITE,P,1,1,1,1,15,1557
11968,C_READ,C,1,7,3,3,14,0
11968,P_WRITE,P,4,3,4,4,15,963
14333,C_READ,C,2,3,4,4,14,0
14333,P_WRITE,P,1,5,1,1,15,3057
14387,C_READ,C,0,2,2,2,14,0
14387,P_WRITE,P,2,5,2,2,15,1580
19420,C_READ,C,2,4,2,2,14,0
19420,P_WRITE,P,3,4,3,3,15,6150
20439,C_READ,C,2,4,3,3,14,0
20439,P_WRITE,P,0,7,0,0,15,12807
20763,P_WRITE,P,4,9,4,4,15,8795
20763,C_READ,C,0,0,2,2,15,0
21114,STOP_SET_TIMEOUT,M,0,-1,-1,-1,15,0
21114,P_EXIT,P,3,-1,-1,-1,15,0
21115,C_EXIT,C,0,-1,-1,-1,15,0
21171,P_EXIT,P,4,-1,-1,-1,15,0
21250,C_EXIT,C,2,-1,-1,-1,15,0
21282,P_EXIT,P,2,-1,-1,-1,15,0
21282,P_EXIT,P,1,-1,-1,-1,15,0
21316,C_EXIT,C,1,-1,-1,-1,15,0
21450,P_EXIT,P,0,-1,-1,-1,15,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=30 cons_ops=15 runtime_s=21.451 throughput=0.699 prod_block_ms=36636 prod_block_ev=10 cons_block_ms=0 cons_block_ev=0 max_q=15
21451,RUN_END,M,0,-1,-1,-1,15,0
