# producers=5 consumers=3 q=5 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,1,0,0,1,0
0,P_WRITE,P,0,5,0,0,2,0
0,P_START,P,1,-1,-1,-1,2,0
0,P_WRITE,P,1,4,1,1,3,0
0,P_START,P,2,-1,-1,-1,3,0
0,P_WRITE,P,2,8,2,2,4,0
0,P_START,P,3,-1,-1,-1,4,0
0,P_START,P,4,-1,-1,-1,4,0
0,P_WRITE,P,3,6,3,3,5,0
0,C_START,C,0,-1,-1,-1,5,0
0,C_START,C,1,-1,-1,-1,4,0
0,C_READ,C,0,6,3,3,3,0
0,C_READ,C,1,8,2,2,3,0
0,C_READ,C,1,4,1,1,2,0
0,C_READ,C,1,5,4,4,2,0
0,P_WRITE,P,4,5,4,4,3,0
0,P_WRITE,P,3,7,3,3,3,0
0,C_START,C,2,-1,-1,-1,3,0
0,C_READ,C,2,7,3,3,2,0
1018,P_WRITE,P,3,2,3,3,3,0
1553,C_READ,C,0,2,3,3,2,0
1553,C_READ,C,0,1,0,0,1,0
1553,C_READ,C,0,5,0,0,0,0
3041,P_WRITE,P,1,0,1,1,1,0
3041,C_READ,C,0,0,1,1,0,1488
3067,P_WRITE,P,3,5,3,3,1,0
3067,P_WRITE,P,3,9,3,3,2,0
3067,C_READ,C,2,5,3,3,1,26
3067,C_READ,C,0,9,3,3,0,26
4084,P_WRITE,P,3,0,3,3,1,0
4359,P_WRITE,P,4,4,4,4,2,0
4359,P_WRITE,P,4,1,4,4,3,0
5106,P_WRITE,P,3,9,3,3,4,0
5106,P_WRITE,P,3,1,3,3,5,0
8573,C_READ,C,0,4,4,4,4,0
8573,P_WRITE,P,2,9,2,2,5,724
10665,C_READ,C,2,1,4,4,4,0
10666,P_WRITE,P,2,7,2,2,5,2093
13343,C_READ,C,1,0,3,3,4,0
13343,P_WRITE,P,0,5,0,0,5,1863
16073,C_READ,C,0,9,3,3,4,0
16073,P_WRITE,P,4,2,4,4,5,10679
18018,C_READ,C,2,2,4,4,4,0
18018,P_WRITE,P,1,0,1,1,5,9070
20234,STOP_SET_TIMEOUT,M,0,-1,-1,-1,5,0
20234,P_EXIT,P,4,-1,-1,-1,5,0
20244,C_EXIT,C,0,-1,-1,-1,5,0
20244,P_EXIT,P,1,-1,-1,-1,5,0
20245,C_EXIT,C,1,-1,-1,-1,5,0
20245,C_EXIT,C,2,-1,-1,-1,5,0
20255,P_EXIT,P,2,-1,-1,-1,5,0
20291,P_EXIT,P,0,-1,-1,-1,5,0
20291,P_EXIT,P,3,-1,-1,-1,5,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=21 cons_ops=16 runtime_s=20.291 throughput=0.789 prod_block_ms=24429 prod_block_ev=5 cons_block_ms=1540 cons_block_ev=3 max_q=5
20291,RUN_END,M,0,-1,-1,-1,5,0
