# producers=5 consumers=3 q=3 timeout=20 verbose=0
# build_type=unknown
# build_datetime=Jan 28 2026 23:56:55
# compiler=13.3.0
time_ms,event,actor_type,actor_id,value,priority,producer_id,q_count,blocked_ms
0,RUN_START,M,0,-1,-1,-1,0,0
# defaults PRODUCER_WAIT_MAX_SEC=2 CONSUMER_WAIT_MAX_SEC=4 RAND_VALUE_RANGE=[0..9]
0,P_START,P,0,-1,-1,-1,0,0
0,P_WRITE,P,0,1,0,0,1,0
0,P_START,P,1,-1,-1,-1,1,0
0,P_WRITE,P,1,6,1,1,2,0
0,P_START,P,2,-1,-1,-1,2,0
0,P_WRITE,P,2,4,2,2,3,0
0,P_START,P,3,-1,-1,-1,3,0
0,P_START,P,4,-1,-1,-1,3,0
0,C_START,C,0,-1,-1,-1,3,0
0,C_READ,C,0,4,2,2,2,0
0,P_WRITE,P,3,2,3,3,3,0
0,C_START,C,1,-1,-1,-1,3,0
0,C_READ,C,1,2,3,3,2,0
0,C_START,C,2,-1,-1,-1,2,0
0,C_READ,C,2,7,4,4,1,0
0,P_WRITE,P,3,7,3,3,2,0
0,P_WRITE,P,3,6,3,3,3,0
0,C_READ,C,1,6,1,1,2,0
0,P_WRITE,P,4,7,4,4,2,0
2049,C_READ,C,0,7,3,3,2,0
2049,P_WRITE,P,1,4,1,1,3,1012
3081,C_READ,C,0,6,3,3,2,0
3081,P_WRITE,P,4,8,4,4,3,535
9305,C_READ,C,2,8,4,4,2,0
9305,P_WRITE,P,1,4,1,1,2,4332
9305,C_READ,C,2,4,1,1,2,0
9306,C_READ,C,2,7,2,2,2,1
9305,P_WRITE,P,2,7,2,2,3,3052
9306,P_WRITE,P,3,9,3,3,3,6225
10627,C_READ,C,1,9,3,3,2,0
10627,P_WRITE,P,3,6,3,3,3,1321
10771,C_READ,C,0,6,3,3,2,0
10771,P_WRITE,P,0,9,0,0,3,670
12346,C_READ,C,2,4,1,1,2,0
12346,P_WRITE,P,4,5,4,4,3,986
13569,C_READ,C,2,5,4,4,2,0
13569,P_WRITE,P,3,0,3,3,3,2942
13810,C_READ,C,0,0,3,3,2,0
13810,P_WRITE,P,3,0,3,3,3,241
14802,C_READ,C,1,0,3,3,2,0
14802,P_WRITE,P,0,7,0,0,3,15
15834,C_READ,C,0,1,0,0,2,0
15834,P_WRITE,P,2,3,2,2,3,977
20660,STOP_SET_TIMEOUT,M,0,-1,-1,-1,3,0
20745,C_EXIT,C,1,-1,-1,-1,3,0
20794,P_EXIT,P,4,-1,-1,-1,3,0
20805,P_EXIT,P,0,-1,-1,-1,3,0
20841,P_EXIT,P,1,-1,-1,-1,3,0
20862,C_EXIT,C,0,-1,-1,-1,3,0
20873,P_EXIT,P,2,-1,-1,-1,3,0
20889,C_EXIT,C,2,-1,-1,-1,3,0
20889,P_EXIT,P,3,-1,-1,-1,3,0
# summary start_failed=0 started_producers=5 started_consumers=3 prod_ops=19 cons_ops=16 runtime_s=20.889 throughput=0.766 prod_block_ms=22308 prod_block_ev=12 cons_block_ms=1 cons_block_ev=1 max_q=3
20889,RUN_END,M,0,-1,-1,-1,3,0
